"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"01E05" -0.0158587584495532 0.0417536759694552 -5.01342319937551 2.63768111761867e-05 0.00527408887193918 0.344368607275822
"92A10" 0.0114065872026757 0.0413884436121823 5.00683037714222 2.68578093532726e-05 0.00530004903006448 0.326293906014213
"04K24" -0.00864039170935355 0.0379459381675968 -5.00663424752601 2.68722521787838e-05 0.00530004903006448 0.325756223236327
"91B06" 0.00770448942841293 0.0153174997154553 4.99446844568545 2.77834881731237e-05 0.00534595310868614 0.292406490747211
"87K02" -0.00545746572234006 0.0152349624055258 -4.99285125187908 2.79069234101084e-05 0.00534595310868614 0.287973690484224
"85M12" 0.0173392799515545 0.0358322309036197 4.98832317737299 2.82554627956075e-05 0.00534595310868614 0.275562499033741
"54K22" 0.0327615638338182 0.028956934182461 4.9865508534423 2.83930664775752e-05 0.00534595310868614 0.270704848504021
"72M02" 0.0180788594607752 0.0583716940985223 4.98553270195664 2.84724189311162e-05 0.00534595310868614 0.267914309571255
"91C06" 0.0229250349967841 0.0519469050614358 4.98316062367278 2.86581548558192e-05 0.00534595310868614 0.261413079077174
"85I20" 0.00822764102106097 0.0125159595159945 4.98074892123422 2.8848235768609e-05 0.00534595310868614 0.254803447002075
"69F10" 0.00723634274826936 0.0226028130182018 4.9791711637947 2.89732701645306e-05 0.00534595310868614 0.250479474800171
"70G15" 0.00904304724811111 0.0283617424935135 4.9790213865366 2.89851678693324e-05 0.00534595310868614 0.250069002563508
"05J24" -0.00677260417794614 0.0286413016330042 -4.97734606793781 2.91185819133978e-05 0.00534595310868614 0.245477759449514
"68I06" 0.00518095428168519 0.0171368964591669 4.9771622268282 2.91332594478809e-05 0.00534595310868614 0.244973945282636
"18C09" -0.0219830971400302 0.0720864482269459 -4.96568397838297 3.0064465481546e-05 0.00539258202285785 0.213520323791887
"71I17" 0.0118964410567363 0.0366071605307379 4.96540549859318 3.00874239907673e-05 0.00539258202285785 0.212757269730579
"93A17" 0.0095159438989091 0.0228318539473005 4.96419668266491 3.01872849123064e-05 0.00539258202285785 0.209445062406258
"47C13" 0.0267264917688778 0.0744766633375897 4.96207466515409 3.03633880844632e-05 0.00539258202285785 0.203630772727118
"94B06" 0.0198450926165047 0.0590097555594006 4.95394411131649 3.10476910306562e-05 0.00539258202285785 0.181354742389507
"26B22" 1.90864995593994 4.0560446383513 4.95369012843191 3.10693139073062e-05 0.00539258202285785 0.180658921782367
"01N23" -0.0238523149525304 0.0513328174031876 -4.95110931296254 3.12898876432818e-05 0.00539258202285785 0.173588565577854
"81B02" -0.00574592208034849 0.0219277428244672 -4.95053625043264 3.13390774115115e-05 0.00539258202285785 0.172018647937394
"25N06" 0.0199548384824817 0.040606324844057 4.94923594617122 3.14509780838156e-05 0.00539258202285785 0.168456481701412
"88G15" 0.0360606865127871 0.0794601505365976 4.94861369795405 3.1504668307098e-05 0.00539258202285785 0.166751863840725
