"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"01G20" -0.014514662757085 0.0378051543556144 -5.80600355716573 3.02946361811408e-06 0.00172222036627415 2.54658545415109
"69I24" 0.0178609725673418 0.0642639884801603 5.78978802756387 3.165678340503e-06 0.00173231167589671 2.50223456157988
"18F04" -0.0129044260233739 0.0379445180307379 -5.78470765463528 3.20961328003375e-06 0.00173231167589671 2.48833704420488
"26N10" 0.0165543006555759 0.0722981215462437 5.77092427104667 3.33193484126388e-06 0.00173231167589671 2.45062686938252
"01N21" -0.0408774333718228 0.0953625040514909 -5.76988351934398 3.34135979757422e-06 0.00173231167589671 2.44777914965483
"01M21" -0.023947536457766 0.0534143864866796 -5.76920222114805 3.34754413161318e-06 0.00173231167589671 2.44591494835023
"51C20" 0.11832716348192 0.149801386704695 5.75005698343368 3.52613201055437e-06 0.00173231167589671 2.39352133917584
"66O19" -0.00984502667671434 0.036571198300174 -5.74383420996004 3.58622344945031e-06 0.00173231167589671 2.3764887945572
"18A16" -0.00871849693149646 0.0239456653219037 -5.72735602825861 3.75038382623994e-06 0.00173231167589671 2.33137880556572
"49B17" 0.021636606024914 0.0500000433049751 5.72546802485693 3.76967008117754e-06 0.00173231167589671 2.32620964263907
"18J06" -0.0300535091739765 0.0749731260759508 -5.72441053462141 3.78051616643035e-06 0.00173231167589671 2.32331428403084
"41K20" -0.0404484186019379 0.155836679320436 -5.71744886941239 3.8527076316851e-06 0.00173231167589671 2.30425255735693
"90I09" -0.0448913526308081 0.171268161638745 -5.71399601881768 3.88902716194967e-06 0.00173231167589671 2.29479766348432
"18A13" -0.0197424389395268 0.0471689242458256 -5.71384953404443 3.89057560175874e-06 0.00173231167589671 2.2943965367893
"48P04" 0.0264951365106254 0.0605580548293477 5.71117236223201 3.91898478352752e-06 0.00173231167589671 2.28706536662925
"17K21" 0.00645871940189582 0.0255321202039985 5.70888208400895 3.94345430307946e-06 0.00173231167589671 2.2807934644565
"47M02" 0.101717221790336 0.107346286779071 5.69224893090808 4.12584665861272e-06 0.00177460694699168 2.23523825778003
"45H19" -0.0412909295604341 0.145129483973695 -5.68740881758541 4.18050159407536e-06 0.00177460694699168 2.22198027715645
"18G04" -0.0216569380445321 0.0526956935019252 -5.68327785044911 4.2277256110299e-06 0.00177460694699168 2.2106641577951
"18C14" -0.0644722309688888 0.190671688712133 -5.67836672446139 4.28456821610105e-06 0.00177460694699168 2.19721017977146
"01I22" -0.0290813267592592 0.0617682648140073 -5.65589695449448 4.55462350844126e-06 0.00183400197986734 2.13564449496036
"50L10" 0.0217165930369951 0.0717761101066242 5.64571440925313 4.68258868646092e-06 0.00183400197986734 2.10773976181117
"47P06" 0.0403561714431362 0.0809873837337307 5.64489352533005 4.69306126660554e-06 0.00183400197986734 2.10549003418169
"18J18" -0.0216885347448292 0.049341352865953 -5.64477780969267 4.69453942678367e-06 0.00183400197986734 2.10517290041084
"01C06" -0.0198033706317845 0.0433130349133839 -5.64090722420546 4.74425373331668e-06 0.00183400197986734 2.09456482423495
"87J05" -0.00480693062890519 0.0145781813175466 -5.63262284032088 4.85244918485168e-06 0.00185114551600533 2.07185839148188
"18G03" -0.0186396234052052 0.052327496275309 -5.61434093327537 5.10009160912924e-06 0.00189871430777335 2.02174298507916
"01E05" -0.0182655388947173 0.0417536759694552 -5.61323954641092 5.11541097583849e-06 0.00189871430777335 2.01872349884212
"18A12" -0.0143757202965501 0.0449333717046334 -5.60908550017849 5.17360846804729e-06 0.00189871430777335 2.0073347507064
"87H16" -0.00410981607027818 0.00774834187649585 -5.60342101680556 5.2540430573816e-06 0.00190413087953331 1.99180422259692
"01J24" -0.026055957791944 0.0654349545772524 -5.59018209309153 5.44697928409709e-06 0.00194968235041762 1.95550322401892
"18C06" -0.0257760475399799 0.0639807611355879 -5.58343370251121 5.54805556900253e-06 0.00195558014231575 1.93699745017996
"01K24" -0.0286167690628423 0.0748513900849847 -5.58012133136333 5.59835656234977e-06 0.00195558014231575 1.92791367804952
"18I05" -0.02422332973266 0.0577405572044092 -5.56004624565235 5.91319053575124e-06 0.00196981460014477 1.87285445902073
"36L18" -0.0245767967858103 0.0996763555538771 -5.55882417874725 5.93292172605748e-06 0.00196981460014477 1.86950242974332
"43J18" -0.0290059869780245 0.089047962116856 -5.55201757558861 6.04403826190804e-06 0.00196981460014477 1.85083184597347
