"groupCD" "groupUC" "AveExpr" "F" "P.Value" "adj.P.Val"
"18A16" -0.00871849693149646 -0.00659903573808612 0.0829597143750505 18.4818501077787 7.48449647127939e-06 0.0024110889576867
"66K24" -0.00444373629329485 -0.00506818543933585 0.0229593475079425 18.4536723251157 7.57626286158464e-06 0.00241119797419719
"72K02" 0.011104656396229 0.0110517167905993 0.00821205745773614 18.4150064443561 7.70415226479048e-06 0.00241119797419719
"27F08" 0.00379104579328296 0.00263749766042376 0.0339986352757141 18.405982978834 7.73432937606797e-06 0.00241119797419719
"62G20" 0.0150087983948374 0.0316445186300315 0.0235035535960166 18.3124257811211 8.05478068726717e-06 0.00245832307781125
"51C20" 0.11832716348192 0.0866056469504387 0.0244893415670536 18.3011159637122 8.09447208391535e-06 0.00245832307781125
"66O19" -0.00984502667671434 -0.00719917575144275 0.0237403455002666 18.2531824393403 8.26503341689867e-06 0.00245832307781125
"01M24" -0.0225004808298978 -0.0207791145267873 0.128129873693967 18.250708639539 8.27393973571196e-06 0.00245832307781125
"18G04" -0.0216569380445321 -0.0164605883223098 0.0219312968599888 18.2408757798522 8.30944233523618e-06 0.00245832307781125
"86N14" -0.023768360139367 -0.0199495002217878 0.0246776639071264 18.1774319847184 8.54247206588962e-06 0.00250173628895291
"63G22" 0.0136840844938534 0.0268292557284326 0.0145228600004857 18.1268431218124 8.73330046778602e-06 0.0025320458046252
"01J24" -0.026055957791944 -0.0205642291294555 0.047654979306099 18.0467792178604 9.04470510509216e-06 0.0025745809534224
"18F18" -0.0163394080153762 -0.0106893830179688 0.0347493825057626 18.0435255454446 9.05760898317129e-06 0.0025745809534224
"01D20" -0.0167480349594639 -0.0142463477111922 0.0433130349133839 17.981800028162 9.30618121134749e-06 0.00257934737185118
"66P21" -0.00381727780347335 -0.00370837354936989 0.0223163784069672 17.8773523584744 9.74359315112993e-06 0.00257934737185118
"45F21" -0.0878483041689563 -0.0400448220000302 0.0249735743917185 17.8632190149328 9.80445290866175e-06 0.00257934737185118
"45K13" -0.00658186445579967 -0.00636333437131817 0.0214496214067203 17.8549330893474 9.84032224857089e-06 0.00257934737185118
"66J23" -0.00664502644619528 -0.00567034695212121 0.0111522158667392 17.8381506628609 9.91340385529634e-06 0.00257934737185118
"83P09" 0.0085251385874411 0.0109034096075152 0.023423999668723 17.7781618355555 1.01794243216509e-05 0.00257934737185118
"87P21" 0.0130959874909172 0.0188963204338632 0.0225180528630629 17.7331396222751 1.03840945575639e-05 0.00257934737185118
