"groupCD" "groupUC" "groupCD.agemiddleage" "groupUC.agemiddleage" "groupCD.ageold" "groupUC.ageold" "AveExpr" "F" "P.Value" "adj.P.Val"
"52A15" 0.0416010778833331 0.0181737200383333 -0.0128941769369442 0.0112349760891242 0.0151146996327091 0.0115776893943758 0.0485034071434151 11.3527719677585 8.30227763035554e-06 0.0193319782802027
"23J21" 0.0138586209495736 0.00370707169166668 -0.00520827387457362 0.00878266206987245 0.000906871007092997 -0.00226965318500006 0.0579125419315222 11.3318164709735 8.42460354687812e-06 0.0193319782802027
"18B03" -0.0477683227733334 -0.0180469179000002 -0.0132870500861108 -0.0338726515979625 0.0130763222559264 -0.0156001148970365 0.128129873693967 11.2009026183184 9.23465186008247e-06 0.0193319782802027
"84F02" -0.0010611490577778 -0.00194213695777782 0.00130873631 0.00547778406296301 -0.00024435917962961 0.0161786362888889 0.0190623666470042 11.1855709968401 9.33493242930494e-06 0.0193319782802027
"09E18" -0.000499705425757274 0.000237161134530423 -0.00319857994522597 -0.0038203487031045 0.000709686569019183 0.0127850234184934 0.0454426139981126 11.0163542158829 1.05240356835502e-05 0.0203415577715448
"05I17" -0.00541071440416666 -0.00724072105249998 -0.000675200031944486 0.00233105662149999 0.000832295037499991 0.0201577729525 0.0470539213262366 10.9106551037245 1.13498533602007e-05 0.0205666436545187
"19O21" 0.00479809070106483 0.00266736809851851 -0.0032809130485957 0.0013973221431852 -0.00653088312049736 0.0142158534691323 0.0461788897597921 10.6695570016874 1.35099721475367e-05 0.0230408601455019
"83C07" 0.01754582445 0.0537207368333329 -7.68890144444247e-05 -0.00133048984500004 0.0258445100233331 -0.00749535369333292 0.0300443363091471 10.311315870251 1.75904008860749e-05 0.0283332496049983
"13F17" 0.00573084128083335 0.00302362755101853 -0.000759971608611091 0.00038338309312966 0.000526370197050278 0.00187134362686506 0.0326609806981554 10.0235322248216 2.18436528198259e-05 0.0333322645371164
"66J23" -0.0126541418758333 -0.011910790335 0.00780560615888889 0.00788466612916666 0.00719447574116666 0.00806972671700004 0.0174568923753349 9.77798098736284 2.63642370692906e-05 0.0360196259648316
"66H19" -0.0215208368425 -0.0192001982 0.0106829783119444 0.00823943629899999 0.0168748447241666 0.0128280203333333 0.0329394273736832 9.75660064795317 2.68035535953315e-05 0.0360196259648316
"49B17" 0.0153692795413466 -0.00477907608054189 0.00368545146143126 0.0244513418781235 0.0122867172153201 0.0253282056023822 0.0250790294255382 9.67184717110224 2.86250512663029e-05 0.0360196259648316
"17K20" 0.022689000875 0.018815515195 -0.00230277117992421 0.0153154606531062 0.00908371088400747 -0.00491660866932556 0.0523806506434697 9.62097491979246 2.97827603044677e-05 0.0360196259648316
"68O09" 0.0018795829360648 0.00198298009694446 0.00567440501428244 0.00591899825618056 0.00844770667589816 0.0179447024733519 0.0178601823425752 9.58282353724315 3.06843871570932e-05 0.0360196259648316
"47K20" 0.0192421941134396 0.00310076727510626 -0.0134280080952335 0.0124011692831421 -0.00351960655467768 0.00715260781698902 0.0288461003164857 9.51965283934113 3.22432595369067e-05 0.0360196259648316
"49F18" 0.0127834606576852 0.000596089921666663 -0.00477012324228392 0.00942733497472226 -0.00405125261001854 0.00550517904988894 0.0406228122142635 9.49410005404105 3.28981229786442e-05 0.0360196259648316
"46P09" 0.0933645837250003 0.0227366514583338 -0.0805250926363891 0.0366039139058328 -0.0644997114632228 -0.0178972505743338 0.0440310256260752 9.45604416344811 3.39003844374067e-05 0.0360196259648316
"47K21" 0.0193032533 -0.00143279302999996 -0.0103451750555555 0.0248953853016667 -0.00675908506000002 0.00851866750333328 0.0402018429796784 9.42342337003699 3.47859665096845e-05 0.0360196259648316
"47O15" 0.0467192161666664 0.00968890009166666 -0.0289269385277774 0.0223944733783333 -0.025568816013333 -0.00254595703833331 0.0250928175407573 9.35013328069839 3.68687972059863e-05 0.0368598978411435
"53E21" 0.0230968911083334 -0.00319664901354161 -0.00494555214562639 0.0287385311785416 0.00533560820538359 0.0372877325105919 0.0108978457616462 9.04247671300133 4.72172140696804e-05 0.0430550733933535
"47L18" 0.0182049932084396 -0.000963640045780218 -0.0131580174389951 0.0153239628874044 -0.00894001394696851 0.00523825229058464 0.0193906042464116 8.97657481496438 4.98219411360312e-05 0.0430550733933535
"87B02" 0.00351325072500003 0.0121935724924469 0.00508756274262343 0.010151882766844 0.0401992388043333 0.0133174303035531 0.0288454792600408 8.97095729120392 5.00510918247801e-05 0.0430550733933535
"47D22" 0.0197130963333333 -3.92610421980276e-06 -0.0126184037634625 0.0204671068483128 -0.0163039592058333 0.0064286173108865 0.0172711802195536 8.9475511319198 5.10182905056969e-05 0.0430550733933535
"43K15" -0.025531844966773 -0.0120696995091667 0.00835828339482853 -0.00397232123166663 0.0135553964234397 0.00474961326916672 0.0545744398288563 8.93499039674968 5.15456950516213e-05 0.0430550733933535
"30F12" -0.0102630143958333 -0.0125438389166667 0.00734144129 0.0096906501641667 0.00645034416583333 0.00886760353666668 0.0514089073640783 8.90192497695856 5.29626164364566e-05 0.0430550733933535
"67L17" -0.00143643928539351 0.000447188586941139 0.00231023398595238 -0.00186317964485846 0.00212798146640013 0.00905203240031548 0.0287430208850783 8.79706877150869 5.77433611648546e-05 0.0430550733933535
"27F08" 0.00383947714630291 0.00361358576191138 0.000820795710121255 -0.000496574138585976 0.000622844291958993 -0.00281142593417857 0.0371020482406959 8.76530527965102 5.92826665409216e-05 0.0430550733933535
